Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,161,28,"M:System.Drawing.Imaging.ImageAttributes.SetColorMatrix(System.Drawing.Imaging.ColorMatrix,System.Drawing.Imaging.ColorMatrixFlag,System.Drawing.Imaging.ColorAdjustType)",,,,,"imageAttributes.SetColorMatrix(colorMatrix, ColorMatrixFlag.Default, ColorAdjustType.Bitmap);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,160,28,T:System.Drawing.Imaging.ImageAttributes,,,,,ImageAttributes imageAttributes = new ImageAttributes();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,160,28,M:System.Drawing.Imaging.ImageAttributes.#ctor,,,,,ImageAttributes imageAttributes = new ImageAttributes();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,159,33,P:System.Drawing.Imaging.ColorMatrix.Matrix33,,,,,colorMatrix.Matrix33 = (float)0.5;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,158,106,P:System.Drawing.Imaging.ColorMatrix.Matrix33,,,,,colorMatrix.Matrix33 = (float)1;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,157,28,T:System.Drawing.Imaging.ColorMatrix,,,,,ColorMatrix colorMatrix = new ColorMatrix();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,157,28,M:System.Drawing.Imaging.ColorMatrix.#ctor,,,,,ColorMatrix colorMatrix = new ColorMatrix();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,153,24,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,153,24,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,153,24,F:System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic,,,,,g.InterpolationMode = System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,153,24,T:System.Drawing.Drawing2D.InterpolationMode,,,,,g.InterpolationMode = System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic;
